booking_id,customer_id,vehicle_id,start_date,end_date,days,insurance_option,deposit_amount,discount_code,seasonal_multiplier
BK-0001,CL-0004,VH-0001,2026-07-10,2026-07-20,10,all_risk,3000,,1.3
BK-0002,CL-0007,VH-0048,2026-06-18,2026-07-02,14,all_risk,7000,,1.15
BK-0003,CL-0013,VH-0009,2026-04-06,2026-04-15,9,basic,3000,,1.0
BK-0004,CL-0009,VH-0034,2026-05-04,2026-05-16,12,all_risk,5000,WELCOME5,1.0
BK-0005,CL-0010,VH-0040,2026-02-12,2026-02-26,14,basic,5000,WELCOME5,1.0
BK-0006,CL-0004,VH-0035,2026-05-11,2026-05-20,9,basic,5000,,1.0
BK-0007,CL-0013,VH-0025,2026-02-02,2026-02-07,5,franchise_buyback,15000,,1.0
BK-0008,CL-0019,VH-0007,2026-01-25,2026-02-04,10,basic,3000,,1.0
BK-0009,CL-0019,VH-0044,2026-05-06,2026-05-12,6,franchise_buyback,7000,WELCOME5,1.0
BK-0010,CL-0010,VH-0029,2026-05-25,2026-06-07,13,franchise_buyback,15000,,1.0
BK-0011,CL-0013,VH-0047,2026-04-22,2026-05-04,12,all_risk,7000,LOYAL10,1.0
BK-0012,CL-0018,VH-0035,2026-01-08,2026-01-13,5,basic,5000,,1.0
BK-0013,CL-0011,VH-0003,2026-05-08,2026-05-10,2,basic,3000,,1.0
BK-0014,CL-0006,VH-0016,2026-01-11,2026-01-14,3,franchise_buyback,2000,,1.0
BK-0015,CL-0019,VH-0019,2026-02-18,2026-02-22,4,franchise_buyback,2000,WELCOME5,1.0
BK-0016,CL-0019,VH-0038,2026-02-16,2026-03-02,14,all_risk,5000,,1.0
BK-0017,CL-0007,VH-0008,2026-06-14,2026-06-21,7,all_risk,3000,LOYAL10,1.15
BK-0018,CL-0005,VH-0031,2026-06-21,2026-07-03,12,basic,5000,,1.15
BK-0019,CL-0014,VH-0027,2026-01-08,2026-01-13,5,basic,15000,WELCOME5,1.0
BK-0020,CL-0008,VH-0030,2026-04-06,2026-04-12,6,all_risk,15000,,1.0
BK-0021,CL-0018,VH-0006,2026-05-04,2026-05-06,2,franchise_buyback,3000,WELCOME5,1.0
BK-0022,CL-0006,VH-0002,2026-02-06,2026-02-14,8,all_risk,3000,LOYAL10,1.0
BK-0023,CL-0016,VH-0015,2026-01-06,2026-01-14,8,basic,2000,LOYAL10,1.0
BK-0024,CL-0018,VH-0018,2026-03-14,2026-03-27,13,franchise_buyback,2000,WELCOME5,1.0
BK-0025,CL-0019,VH-0044,2026-02-07,2026-02-13,6,basic,7000,,1.0
