month,category,multiplier
1,Compact,1.1
1,Economy,1.1
1,Premium,1.1
1,SUV,1.1
1,Utility,1.1
2,Compact,1.0
2,Economy,1.0
2,Premium,1.0
2,SUV,1.0
2,Utility,1.0
3,Compact,1.0
3,Economy,1.0
3,Premium,1.0
3,SUV,1.0
3,Utility,1.0
4,Compact,1.0
4,Economy,1.0
4,Premium,1.0
4,SUV,1.0
4,Utility,1.0
5,Compact,1.0
5,Economy,1.0
5,Premium,1.0
5,SUV,1.0
5,Utility,1.0
6,Compact,1.15
6,Economy,1.15
6,Premium,1.15
6,SUV,1.15
6,Utility,1.15
7,Compact,1.3
7,Economy,1.3
7,Premium,1.3
7,SUV,1.3
7,Utility,1.3
8,Compact,1.3
8,Economy,1.3
8,Premium,1.3
8,SUV,1.3
8,Utility,1.3
9,Compact,1.15
9,Economy,1.15
9,Premium,1.15
9,SUV,1.15
9,Utility,1.15
10,Compact,1.0
10,Economy,1.0
10,Premium,1.0
10,SUV,1.0
10,Utility,1.0
11,Compact,1.0
11,Economy,1.0
11,Premium,1.0
11,SUV,1.0
11,Utility,1.0
12,Compact,1.1
12,Economy,1.1
12,Premium,1.1
12,SUV,1.1
12,Utility,1.1
